          21
          37
  0.1000000      0.1000000      0.1000000      0.1000000    
   1.500000       1.500000       1.500000    
  2.0000001E-03  2.0000000E-02  3.9999999E-02
   250.0000    
  0.7451324    
  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.0000000E+00  5.1663470E-02  0.1029274      0.1533973      0.2026850      0.2504112      0.2962086      0.3397247      0.3806243      0.4185931      0.4533392      0.4845958      0.5121240      0.5357140      0.5551870      0.5703973      0.5812328      0.5876160      0.5895048      0.5868924      0.5798073      0.5683128      0.5525061      0.5325175      0.5085083      0.4806699      0.4492215      0.4144083      0.3764991      0.3357840      0.2925724      0.2471904      0.1999783      0.1512883      0.1014820      5.0928108E-02  0.0000000E+00
  0.0000000E+00  0.1029387      0.2050836      0.3056509      0.4038682      0.4989786      0.5902476      0.6769679      0.7584652      0.8341040      0.9032930      0.9654903       1.020209       1.067023       1.105569       1.135553       1.156751       1.169013       1.172264       1.166506       1.151813       1.128333       1.096284       1.055953       1.007687      0.9518948      0.8890349      0.8196148      0.7441843      0.6633291      0.5776663      0.4878388      0.3945110      0.2983644      0.2000934      0.1004020      0.0000000E+00
  0.0000000E+00  0.1527812      0.3043979      0.4536991      0.5995471      0.7408235      0.8764368       1.005330       1.126489       1.238951       1.341816       1.434253       1.515513       1.584934       1.641956       1.686123       1.717095       1.734648       1.738680       1.729213       1.706389       1.670469       1.621823       1.560930       1.488362       1.404775       1.310901       1.207537       1.095527      0.9757633      0.8491659      0.7166809      0.5792721      0.4379145      0.2935912      0.1472897      0.0000000E+00
  0.0000000E+00  0.2001945      0.3988914      0.5946077      0.7858720      0.9712304       1.149254       1.318548       1.477763       1.625606       1.760856       1.882378       1.989138       2.080221       2.154847       2.212383       2.252357       2.274470       2.278600       2.264801       2.233311       2.184533       2.119035       2.037528       1.940853       1.829962       1.705895       1.569766       1.422739       1.266013       1.100807      0.9283493      0.7498676      0.5665835      0.3797096      0.1904497      0.0000000E+00
  0.0000000E+00  0.2442410      0.4866974      0.7255985      0.9591790       1.185684       1.403373       1.610533       1.805488       1.986616       2.152366       2.301283       2.432031       2.543417       2.634419       2.704206       2.752165       2.777917       2.781324       2.762500       2.721800       2.659815       2.577353       2.475411       2.355148       2.217855       2.064924       1.897813       1.718019       1.527053       1.326416       1.117591      0.9020237      0.6811233      0.4562629      0.2287827      0.0000000E+00
  0.0000000E+00  0.2840285      0.5660355      0.8440107       1.115939       1.379802       1.633584       1.875276       2.102893       2.314487       2.508178       2.682182       2.834842       2.964668       3.070376       3.150926       3.205552       3.233794       3.235517       3.210910       3.160491       3.085080       2.985775       2.863907       2.721005       2.558744       2.378896       2.183285       1.973747       1.752096       1.520094       1.279433       1.031726      0.7785040      0.5212218      0.2612715      0.0000000E+00
  0.0000000E+00  0.3186869      0.6351652      0.9472319       1.252668       1.549236       1.834677       2.106718       2.363087       2.601531       2.819847       3.015917       3.187761       3.333581       3.451820       3.541219       3.600859       3.630212       3.629160       3.598010       3.537475       3.448653       3.332977       3.192165       3.028149       2.843018       2.638942       2.418117       2.182710       1.934813       1.676409       1.409354       1.135366      0.8560246      0.5727895      0.2870190      0.0000000E+00
  0.0000000E+00  0.3473349      0.6923199       1.032604       1.365809       1.689518       2.001273       2.298573       2.578891       2.839693       3.078475       3.292804       3.480380       3.639104       3.767147       3.863034       3.925708       3.954592       3.949621       3.911252       3.840442       3.738605       3.607551       3.449409       3.266538       3.061445       2.836697       2.594844       2.338352       2.069552       1.790600       1.503456       1.209874      0.9114159      0.6094699      0.3052822      0.0000000E+00
  0.0000000E+00  0.3690417      0.7356330       1.097317       1.451598       1.795922       2.127674       2.444168       2.742666       3.020394       3.274582       3.502517       3.701609       3.869477       4.004045       4.103641       4.167098       4.193824       4.183851       4.137827       4.056990       3.943101       3.798361       3.625315       3.426739       3.205539       2.964642       2.706909       2.435055       2.151590       1.858780       1.558622       1.252848      0.9429327      0.6301272      0.3155019      0.0000000E+00
